Damping,Preference,Original Score,Score,Weighted Score,Annotations,Avg Annotations
0.7,-130,0.19966618780778858,0.19703900112610717,0.18029068603038806,608,51.0
0.7,-120,0.2056891920029599,0.1974616243228415,0.17997804300258993,625,53.125
0.7,-110,0.20589085146147476,0.2045273358888822,0.18485375405576115,604,57.714285714285715
0.7,-100,0.2091823188631077,0.19953798301727285,0.1791566033233657,629,61.285714285714285
0.7,-90,0.20670752890027352,0.20670752890027352,0.183740025689132,600,66.66666666666667
0.7,-80,0.20292195253519849,0.19325900241447475,0.17017528823719025,630,71.66666666666667
0.7,-70,0.2078230272912711,0.20275417296709375,0.17470651237331244,615,83.0
0.7,-60,0.21962673636669977,0.20719503430820732,0.17708268932208118,636,87.2
0.7,-50,0.22521353116675696,0.21179955909099402,0.1731461395568876,638,109.5
0.7,-40,0.23606651565573566,0.2329603772918444,0.180156025105693,608,136.0
0.7,-30,0.24525612664041166,0.21768295263941864,0.16011790516366126,676,158.66666666666666
0.7,-20,0.2505941634524699,0.21236793512921176,0.12246550925784545,708,254.0
0.7,-10,0.2553980136008487,0.1990114391694925,0.009950571958474633,770,570.0
0.75,-200,0.19259977960403526,0.18668799315415374,0.17483613419482186,619,38.09090909090909
0.75,-190,0.19586287814814257,0.19586287814814257,0.1828053529382664,600,40.0
0.75,-180,0.20064675087894618,0.1993179644492843,0.18589722150969915,604,40.4
0.75,-170,0.19809027840051655,0.1932588081956259,0.1798917406287618,615,41.5
0.75,-160,0.2023206866197517,0.19207660122128326,0.17824708593335084,632,43.2
0.75,-150,0.20377975163606318,0.20076822821287013,0.18556189389082126,609,45.44444444444444
0.75,-140,0.19961272637655444,0.19101696303976504,0.17591247355495399,627,47.44444444444444
0.75,-130,0.2059549670677224,0.20257865613218598,0.18527506258756177,610,51.25
0.75,-120,0.20597132904736232,0.19868616949906334,0.18121834376393736,622,52.75
0.75,-110,0.20323147907422645,0.1923326300387001,0.17494255473936762,634,54.25
0.75,-100,0.20797832560634846,0.19997915923687354,0.17979078697105583,624,60.57142857142857
0.75,-90,0.21217140226837164,0.21217140226837164,0.18859680201633033,600,66.66666666666667
0.75,-80,0.21087713241110564,0.20211865726304054,0.17820128282024741,626,71.0
0.75,-70,0.21674400131038657,0.21389210655630253,0.18480278006464537,608,81.6
0.75,-60,0.2258298974935796,0.21105597896596223,0.17996039806497713,642,88.4
0.75,-50,0.23245968190866045,0.2224494563719239,0.1828719905924191,627,106.75
0.75,-40,0.2361989112768912,0.23194655771871475,0.17898542703960824,611,137.0
0.75,-30,0.23861180843805574,0.21209938527827177,0.15612871416317228,675,158.33333333333334
0.75,-20,0.24933513937647794,0.21159983539729385,0.1221989049419372,707,253.5
0.75,-10,0.2565967519193187,0.20020552815551523,0.010343952288034948,769,569.0
0.8,-200,0.1967677341026423,0.18980810363598938,0.17767188852471855,622,38.36363636363637
0.8,-190,0.1963092940600318,0.18785578378950413,0.1757020838382741,627,38.81818181818182
0.8,-180,0.19709455459106887,0.19546567397461376,0.18227174098132734,605,40.5
0.8,-170,0.20048943261695631,0.19464993457956922,0.1810893224705259,618,41.8
0.8,-160,0.1989544744901454,0.1906911896071681,0.17715211514505919,626,42.6
0.8,-150,0.20154739788434028,0.19759548812190225,0.1825196842133423,612,45.77777777777778
0.8,-140,0.2006921117864769,0.1932829326996567,0.17814243630485027,623,47.0
0.8,-130,0.20295528826451753,0.20161121350779887,0.1846422697042258,604,50.5
0.8,-120,0.20766369141267335,0.20128952317868176,0.183718625217876,619,52.375
0.8,-110,0.20665548473309273,0.19557301394298995,0.17788995393231127,634,54.25
0.8,-100,0.20849345987801107,0.20015372148289065,0.17990007109474102,625,60.714285714285715
0.8,-90,0.21263513706631973,0.2005991859116224,0.17977507994555875,636,62.285714285714285
0.8,-80,0.2136948242077856,0.20547579250748613,0.18127531027882665,624,70.66666666666667
0.8,-70,0.21751374352051536,0.2115206582047151,0.1821192867142597,617,83.4
0.8,-60,0.22412682812828066,0.21345412202693398,0.18285903120307345,630,86.0
0.8,-50,0.23169816215905464,0.22314429742445072,0.18381511500339126,623,105.75
0.8,-40,0.23745206873733404,0.23394292486436852,0.18078589360352035,609,136.33333333333334
0.8,-30,0.23940388827980605,0.2134358587932892,0.1573496581214971,673,157.66666666666666
0.8,-20,0.250654196986752,0.21302056401140396,0.12319689285326196,706,253.0
0.8,-10,0.2564503342120884,0.2000912880718505,0.01033804988371227,769,569.0
0.85,-200,0.19612566719039293,0.18979903276489637,0.17772091249803934,620,38.18181818181818
0.85,-190,0.1941321758087392,0.1869651773438901,0.17498240915957713,623,38.45454545454545
0.85,-180,0.20019621534065216,0.19595061860422724,0.1824626843569696,613,41.3
0.85,-170,0.19732455836358218,0.19251176425715333,0.17919636722936688,615,41.5
0.85,-160,0.19735699432462767,0.1888583677747633,0.17541794726812598,627,42.7
0.85,-150,0.1998513652121927,0.19625338646041837,0.18131632315759763,611,45.666666666666664
0.85,-140,0.19948838596254015,0.19059399932726767,0.1754876601213287,628,47.55555555555556
0.85,-130,0.2009187978693631,0.19601833938474447,0.17907092045877177,615,51.875
0.85,-120,0.20876836367912202,0.2033458087783656,0.18572250535090726,616,52.0
0.85,-110,0.20351596857285945,0.2031773396734038,0.18377874129030022,601,57.285714285714285
0.85,-100,0.2062098009899927,0.19891620674275823,0.17892986406527156,622,60.285714285714285
0.85,-90,0.20571083526895628,0.2030041137522595,0.17999698086033675,608,68.0
0.85,-80,0.2140480150141069,0.20747788208152526,0.18332976191703662,619,69.83333333333333
0.85,-70,0.21457735188320487,0.21140625801300975,0.1825845381705694,609,81.8
0.85,-60,0.2199570077740783,0.20556729698511994,0.17528038189597894,642,88.4
0.85,-50,0.23141005842894335,0.22179877804691056,0.18242949494358393,626,106.5
0.85,-40,0.22537556400089975,0.22131806612199648,0.17078377435747397,611,137.0
0.85,-30,0.23596966385023685,0.2066887566571418,0.15099761944674525,685,161.66666666666666
0.85,-20,0.24041958007750752,0.19979466488435527,0.11288398565966072,722,261.0
0.85,-10,0.2547320289308647,0.20653948291691732,0.020653948291691728,740,540.0
0.9,-200,0.19508679769101425,0.1887936751848525,0.1767795322185437,620,38.18181818181818
0.9,-190,0.1945795355201517,0.193290929324654,0.18027600675012728,604,40.4
0.9,-180,0.19154814532305064,0.1856686384391444,0.1727027785214775,619,41.9
0.9,-170,0.19990064413871914,0.19376476006984084,0.18023352099163029,619,41.9
0.9,-160,0.20101705162425687,0.20068258065649605,0.1857800408707081,601,44.55555555555556
0.9,-150,0.20521217204396563,0.2011884039646722,0.1858384738844046,612,45.77777777777778
0.9,-140,0.1964173436557983,0.1873615360786629,0.1724767029346358,629,47.666666666666664
0.9,-130,0.19948222157460824,0.19621202122092612,0.17945224440830534,610,51.25
0.9,-120,0.20614226279853318,0.19949251238567725,0.1820369175519305,620,52.5
0.9,-110,0.2115014048361726,0.2090623441543716,0.18880320747084084,607,58.142857142857146
0.9,-100,0.20796807649771745,0.1986956144882651,0.17844758520231807,628,61.142857142857146
0.9,-90,0.2122389617735142,0.21118304654081016,0.1875422777197139,603,67.16666666666667
0.9,-80,0.21288005759304499,0.20701464271608913,0.18303544660147547,617,69.5
0.9,-70,0.21454034497828692,0.21033367154734012,0.1814478473215054,612,82.4
0.9,-60,0.2213467435407448,0.20816308169976003,0.17777127177159505,638,87.6
0.9,-50,0.23047877685163864,0.22340430712598253,0.18440163850690475,619,104.75
0.9,-40,0.22684975527970705,0.22313090683249875,0.17230664472065182,610,136.66666666666666
0.9,-30,0.23945484032243067,0.21097342759685522,0.15459663944458446,681,160.33333333333334
0.9,-20,0.24057373791676587,0.19964625553258578,0.11263376249630049,723,261.5
0.9,-10,0.24757223488846278,0.18661223735311266,0.0012440815823540924,796,596.0
0.95,-200,0.15194300836735042,0.15194300836735042,0.1513471534325765,600,2.3529411764705883
0.95,-190,0.14791360649448007,0.14766749400447263,0.1470903530191335,601,2.345029239766082
0.95,-180,0.14791360649448007,0.14766749400447263,0.1470903530191335,601,2.345029239766082
0.95,-170,0.1527628107562273,0.1525086297067161,0.15191256771341793,601,2.345029239766082
0.95,-160,0.15340486448134033,0.15340486448134033,0.15280327677749195,600,2.3529411764705883
0.95,-150,0.14791360649448007,0.14766749400447263,0.1470903530191335,601,2.345029239766082
0.95,-140,,,,380,
0.95,-130,0.18980765238940284,0.18949183266828903,0.1883710918880533,601,3.5486725663716814
0.95,-120,0.3319835996755643,0.3308806641284694,0.32852225939478774,602,4.276595744680851
0.95,-110,0.14874535015528254,0.1484978537323952,0.14743069173693482,601,4.311827956989247
0.95,-100,,,,572,
0.95,-90,,,,563,
0.95,-80,,,,398,
0.95,-70,0.12752835832113246,0.12752835832113246,0.12681986744157062,600,3.3333333333333335
0.95,-60,,,,485,
0.95,-50,0.28456408193002836,0.28409059760069383,0.26826832959543295,601,33.416666666666664
0.95,-40,0.14383323989410612,0.13590542352199003,0.12495748662716305,635,48.333333333333336
0.95,-30,0.24503237188256027,0.24503237188256027,0.2041936432354669,600,100.0
0.95,-20,0.19628137001825663,0.19149401953000647,0.1583815119862762,615,103.75
0.95,-10,0.2522563168255493,0.205086436443536,0.021192265099165396,738,538.0
