Subject,Activity,Window,Index
Subject10,Walking Downstairs,4,203
Subject10,Walking Downstairs,4,204
Subject10,Walking Downstairs,4,205
Subject10,Walking Downstairs,4,206
Subject10,Walking Downstairs,5,207
Subject10,Walking Downstairs,5,208
Subject10,Walking Downstairs,5,209
Subject10,Walking Downstairs,5,210
Subject10,Walking Downstairs,5,211
Subject10,Walking Downstairs,5,212
Subject10,Walking Downstairs,5,213
Subject10,Walking Downstairs,5,214
Subject10,Walking Downstairs,5,215
Subject10,Walking Forward,1,216
Subject10,Walking Forward,1,217
Subject10,Walking Forward,1,218
Subject10,Walking Forward,1,219
Subject10,Walking Forward,1,220
Subject10,Walking Forward,1,221
Subject10,Walking Forward,1,222
Subject10,Walking Forward,1,223
Subject10,Walking Forward,1,224
Subject10,Walking Forward,1,225
Subject10,Walking Forward,1,226
Subject10,Walking Forward,1,227
Subject10,Walking Forward,1,228
Subject10,Walking Forward,2,229
Subject10,Walking Forward,2,230
Subject10,Walking Forward,2,231
Subject10,Walking Forward,2,232
Subject10,Walking Forward,2,233
Subject10,Walking Forward,2,234
Subject10,Walking Forward,2,235
Subject10,Walking Forward,2,236
Subject10,Walking Forward,2,237
Subject10,Walking Forward,2,238
Subject10,Walking Forward,2,239
Subject10,Walking Forward,2,240
Subject10,Walking Forward,2,241
Subject10,Walking Forward,3,242
Subject10,Walking Forward,3,243
Subject10,Walking Forward,3,244
Subject10,Walking Forward,3,245
Subject10,Walking Forward,3,246
Subject10,Walking Forward,3,247
Subject10,Walking Forward,3,248
Subject10,Walking Forward,3,249
Subject10,Walking Forward,3,250
Subject10,Walking Forward,3,251
Subject10,Walking Forward,3,252
Subject10,Walking Forward,3,253
Subject10,Walking Forward,3,254
Subject10,Walking Forward,3,255
Subject10,Walking Forward,4,256
Subject10,Walking Forward,4,257
Subject10,Walking Forward,4,258
Subject10,Walking Forward,4,259
Subject10,Walking Forward,4,260
Subject10,Walking Forward,4,261
Subject10,Walking Forward,4,262
Subject10,Walking Forward,4,263
Subject10,Walking Forward,4,264
Subject10,Walking Forward,4,265
Subject10,Walking Forward,4,266
Subject10,Walking Forward,4,267
Subject10,Walking Forward,4,268
Subject10,Walking Forward,4,269
Subject10,Walking Forward,5,270
Subject10,Walking Forward,5,271
Subject10,Walking Forward,5,272
Subject10,Walking Forward,5,273
Subject10,Walking Forward,5,274
Subject10,Walking Forward,5,275
Subject10,Walking Forward,5,276
Subject10,Walking Forward,5,277
Subject10,Walking Forward,5,278
Subject10,Walking Forward,5,279
Subject10,Walking Forward,5,280
Subject10,Walking Forward,5,281
Subject10,Walking Forward,5,282
Subject10,Walking Forward,5,283
Subject10,Walking Left,1,284
Subject10,Walking Left,1,285
Subject10,Walking Left,1,286
Subject10,Walking Left,1,287
Subject10,Walking Left,1,288
Subject10,Walking Left,1,289
Subject10,Walking Left,2,290
Subject10,Walking Left,2,291
Subject10,Walking Left,2,292
Subject10,Walking Left,2,293
Subject10,Walking Left,2,294
Subject10,Walking Left,3,295
Subject10,Walking Left,3,296
Subject10,Walking Left,3,297
Subject10,Walking Left,3,298
Subject10,Walking Left,3,299
Subject10,Walking Left,4,300
Subject10,Walking Left,4,301
Subject10,Walking Left,4,302
Subject10,Walking Left,4,303
Subject10,Walking Left,4,304
Subject10,Walking Left,5,305
Subject10,Walking Left,5,306
Subject10,Walking Left,5,307
Subject10,Walking Left,5,308
Subject10,Walking Left,5,309
Subject10,Walking Right,1,310
Subject10,Walking Right,1,311
Subject10,Walking Right,1,312
Subject10,Walking Right,1,313
Subject10,Walking Right,1,314
Subject10,Walking Right,1,315
Subject10,Walking Right,1,316
Subject10,Walking Right,2,317
Subject10,Walking Right,2,318
Subject10,Walking Right,2,319
Subject10,Walking Right,2,320
Subject10,Walking Right,2,321
Subject10,Walking Right,3,322
Subject10,Walking Right,3,323
Subject10,Walking Right,3,324
Subject10,Walking Right,3,325
Subject10,Walking Right,3,326
Subject10,Walking Right,4,327
Subject10,Walking Right,4,328
Subject10,Walking Right,4,329
Subject10,Walking Right,4,330
Subject10,Walking Right,4,331
Subject10,Walking Right,5,332
Subject10,Walking Right,5,333
Subject10,Walking Right,5,334
Subject10,Walking Right,5,335
Subject10,Walking Right,5,336
Subject10,Walking Upstairs,1,337
Subject10,Walking Upstairs,1,338
Subject10,Walking Upstairs,1,339
Subject10,Walking Upstairs,1,340
Subject10,Walking Upstairs,1,341
Subject10,Walking Upstairs,1,342
Subject10,Walking Upstairs,1,343
Subject10,Walking Upstairs,1,344
Subject10,Walking Upstairs,1,345
Subject10,Walking Upstairs,2,346
Subject10,Walking Upstairs,2,347
Subject10,Walking Upstairs,2,348
Subject10,Walking Upstairs,2,349
Subject10,Walking Upstairs,2,350
Subject10,Walking Upstairs,2,351
Subject10,Walking Upstairs,2,352
Subject10,Walking Upstairs,2,353
Subject10,Walking Upstairs,2,354
Subject10,Walking Upstairs,2,355
Subject10,Walking Upstairs,3,356
Subject10,Walking Upstairs,3,357
Subject10,Walking Upstairs,3,358
Subject10,Walking Upstairs,3,359
Subject10,Walking Upstairs,3,360
Subject10,Walking Upstairs,3,361
Subject10,Walking Upstairs,3,362
Subject10,Walking Upstairs,3,363
Subject10,Walking Upstairs,3,364
Subject10,Walking Upstairs,4,365
Subject10,Walking Upstairs,4,366
Subject10,Walking Upstairs,4,367
Subject10,Walking Upstairs,4,368
Subject10,Walking Upstairs,4,369
Subject10,Walking Upstairs,4,370
Subject10,Walking Upstairs,4,371
Subject10,Walking Upstairs,4,372
Subject10,Walking Upstairs,4,373
Subject10,Walking Upstairs,4,374
Subject10,Walking Upstairs,5,375
Subject10,Walking Upstairs,5,376
Subject10,Walking Upstairs,5,377
Subject10,Walking Upstairs,5,378
Subject10,Walking Upstairs,5,379
Subject10,Walking Upstairs,5,380
Subject10,Walking Upstairs,5,381
Subject10,Walking Upstairs,5,382
Subject10,Walking Upstairs,5,383
Subject10,Walking Upstairs,5,384
Subject10,Walking Upstairs,5,385
Subject11,Elevator Down,1,386
Subject11,Elevator Down,1,387
Subject11,Elevator Down,1,388
Subject11,Elevator Down,1,389
Subject11,Elevator Down,2,390
Subject11,Elevator Down,2,391
Subject11,Elevator Down,2,392
Subject11,Elevator Down,2,393
Subject11,Elevator Down,3,394
Subject11,Elevator Down,3,395
Subject11,Elevator Down,3,396
Subject11,Elevator Down,3,397
Subject11,Elevator Down,4,398
Subject11,Elevator Down,4,399
Subject11,Elevator Down,4,400
Subject11,Elevator Down,4,401
Subject11,Elevator Down,5,402
Subject11,Elevator Down,5,403
Subject11,Elevator Down,5,404
Subject11,Elevator Down,5,405
Subject11,Elevator Up,1,406
Subject11,Elevator Up,1,407
Subject11,Elevator Up,1,408
Subject11,Elevator Up,1,409
Subject11,Elevator Up,2,410
Subject11,Elevator Up,2,411
Subject11,Elevator Up,2,412
Subject11,Elevator Up,2,413
Subject11,Elevator Up,3,414
Subject11,Elevator Up,3,415
Subject11,Elevator Up,3,416
Subject11,Elevator Up,3,417
Subject11,Elevator Up,3,418
Subject11,Elevator Up,4,419
Subject11,Elevator Up,4,420
Subject11,Elevator Up,4,421
Subject11,Elevator Up,4,422
Subject11,Elevator Up,5,423
Subject11,Elevator Up,5,424
Subject11,Elevator Up,5,425
Subject11,Elevator Up,5,426
Subject11,Jumping Up,1,427
Subject11,Jumping Up,1,428
Subject11,Jumping Up,1,429
Subject11,Jumping Up,2,430
Subject11,Jumping Up,2,431
Subject11,Jumping Up,2,432
Subject11,Jumping Up,3,433
Subject11,Jumping Up,3,434
Subject11,Jumping Up,3,435
Subject11,Jumping Up,4,436
Subject11,Jumping Up,4,437
Subject11,Jumping Up,4,438
Subject11,Jumping Up,5,439
Subject11,Jumping Up,5,440
Subject11,Jumping Up,5,441
Subject11,Jumping Up,5,442
Subject11,Running Forward,1,443
Subject11,Running Forward,1,444
Subject11,Running Forward,1,445
Subject11,Running Forward,1,446
Subject11,Running Forward,1,447
Subject11,Running Forward,1,448
Subject11,Running Forward,1,449
Subject11,Running Forward,2,450
Subject11,Running Forward,2,451
Subject11,Running Forward,2,452
Subject11,Running Forward,2,453
Subject11,Running Forward,2,454
Subject11,Running Forward,2,455
Subject11,Running Forward,3,456
Subject11,Running Forward,3,457
Subject11,Running Forward,3,458
Subject11,Running Forward,3,459
Subject11,Running Forward,3,460
Subject11,Running Forward,3,461
Subject11,Running Forward,3,462
Subject11,Running Forward,4,463
Subject11,Running Forward,4,464
Subject11,Running Forward,4,465
Subject11,Running Forward,4,466
Subject11,Running Forward,4,467
Subject11,Running Forward,4,468
Subject11,Running Forward,4,469
Subject11,Running Forward,5,470
Subject11,Running Forward,5,471
Subject11,Running Forward,5,472
Subject11,Running Forward,5,473
Subject11,Running Forward,5,474
Subject11,Running Forward,5,475
Subject11,Running Forward,5,476
Subject11,Sitting,1,477
Subject11,Sitting,1,478
Subject11,Sitting,1,479
Subject11,Sitting,1,480
Subject11,Sitting,1,481
Subject11,Sitting,1,482
Subject11,Sitting,1,483
Subject11,Sitting,1,484
Subject11,Sitting,2,485
Subject11,Sitting,2,486
Subject11,Sitting,2,487
Subject11,Sitting,2,488
Subject11,Sitting,2,489
Subject11,Sitting,2,490
Subject11,Sitting,2,491
Subject11,Sitting,2,492
Subject11,Sitting,3,493
Subject11,Sitting,3,494
Subject11,Sitting,3,495
Subject11,Sitting,3,496
Subject11,Sitting,3,497
Subject11,Sitting,3,498
Subject11,Sitting,3,499
Subject11,Sitting,3,500
Subject11,Sitting,4,501
Subject11,Sitting,4,502
Subject11,Sitting,4,503
Subject11,Sitting,4,504
Subject11,Sitting,4,505
Subject11,Sitting,4,506
Subject11,Sitting,4,507
Subject11,Sitting,4,508
Subject11,Sitting,5,509
Subject11,Sitting,5,510
Subject11,Sitting,5,511
Subject11,Sitting,5,512
Subject11,Sitting,5,513
Subject11,Sitting,5,514
Subject11,Sitting,5,515
Subject11,Sitting,5,516
Subject11,Sitting,5,517
Subject11,Sitting,5,518
Subject11,Sitting,5,519
Subject11,Sleeping,1,520
Subject11,Sleeping,1,521
Subject11,Sleeping,1,522
Subject11,Sleeping,1,523
Subject11,Sleeping,1,524
Subject11,Sleeping,1,525
Subject11,Sleeping,1,526
Subject11,Sleeping,1,527
Subject11,Sleeping,2,528
Subject11,Sleeping,2,529
Subject11,Sleeping,2,530
Subject11,Sleeping,2,531
Subject11,Sleeping,2,532
Subject11,Sleeping,2,533
Subject11,Sleeping,2,534
Subject11,Sleeping,2,535
Subject11,Sleeping,3,536
Subject11,Sleeping,3,537
Subject11,Sleeping,3,538
Subject11,Sleeping,3,539
Subject11,Sleeping,3,540
Subject11,Sleeping,3,541
Subject11,Sleeping,3,542
Subject11,Sleeping,3,543
Subject11,Sleeping,4,544
Subject11,Sleeping,4,545
Subject11,Sleeping,4,546
Subject11,Sleeping,4,547
Subject11,Sleeping,4,548
Subject11,Sleeping,4,549
Subject11,Sleeping,4,550
Subject11,Sleeping,4,551
Subject11,Sleeping,5,552
Subject11,Sleeping,5,553
Subject11,Sleeping,5,554
Subject11,Sleeping,5,555
Subject11,Sleeping,5,556
Subject11,Sleeping,5,557
Subject11,Sleeping,5,558
Subject11,Sleeping,5,559
Subject11,Standing,1,560
Subject11,Standing,1,561
Subject11,Standing,1,562
Subject11,Standing,1,563
Subject11,Standing,1,564
Subject11,Standing,1,565
Subject11,Standing,1,566
Subject11,Standing,1,567
Subject11,Standing,2,568
Subject11,Standing,2,569
Subject11,Standing,2,570
Subject11,Standing,2,571
Subject11,Standing,2,572
Subject11,Standing,2,573
Subject11,Standing,2,574
Subject11,Standing,2,575
Subject11,Standing,3,576
Subject11,Standing,3,577
Subject11,Standing,3,578
Subject11,Standing,3,579
Subject11,Standing,3,580
Subject11,Standing,3,581
Subject11,Standing,3,582
Subject11,Standing,3,583
Subject11,Standing,4,584
Subject11,Standing,4,585
Subject11,Standing,4,586
Subject11,Standing,4,587
Subject11,Standing,4,588
Subject11,Standing,4,589
Subject11,Standing,4,590
Subject11,Standing,4,591
Subject11,Standing,4,592
Subject11,Standing,4,593
Subject11,Standing,5,594
Subject11,Standing,5,595
Subject11,Standing,5,596
Subject11,Standing,5,597
Subject11,Standing,5,598
Subject11,Standing,5,599
Subject11,Standing,5,600
Subject11,Standing,5,601
Subject11,Standing,5,602
Subject11,Standing,5,603
Subject11,Walking Downstairs,1,604
Subject11,Walking Downstairs,1,605
Subject11,Walking Downstairs,1,606
Subject11,Walking Downstairs,1,607
Subject11,Walking Downstairs,1,608
Subject11,Walking Downstairs,2,609
Subject11,Walking Downstairs,2,610
Subject11,Walking Downstairs,2,611
Subject11,Walking Downstairs,2,612
Subject11,Walking Downstairs,2,613
Subject11,Walking Downstairs,3,614
Subject11,Walking Downstairs,3,615
Subject11,Walking Downstairs,3,616
Subject11,Walking Downstairs,3,617
Subject11,Walking Downstairs,3,618
Subject11,Walking Downstairs,4,619
Subject11,Walking Downstairs,4,620
Subject11,Walking Downstairs,4,621
Subject11,Walking Downstairs,4,622
Subject11,Walking Downstairs,4,623
Subject11,Walking Downstairs,5,624
Subject11,Walking Downstairs,5,625
Subject11,Walking Downstairs,5,626
Subject11,Walking Downstairs,5,627
Subject11,Walking Downstairs,5,628
Subject11,Walking Forward,1,629
Subject11,Walking Forward,1,630
Subject11,Walking Forward,1,631
Subject11,Walking Forward,1,632
Subject11,Walking Forward,1,633
Subject11,Walking Forward,1,634
Subject11,Walking Forward,1,635
Subject11,Walking Forward,1,636
Subject11,Walking Forward,1,637
Subject11,Walking Forward,1,638
Subject11,Walking Forward,1,639
Subject11,Walking Forward,1,640
Subject11,Walking Forward,1,641
Subject11,Walking Forward,1,642
Subject11,Walking Forward,2,643
Subject11,Walking Forward,2,644
Subject11,Walking Forward,2,645
Subject11,Walking Forward,2,646
Subject11,Walking Forward,2,647
Subject11,Walking Forward,2,648
Subject11,Walking Forward,2,649
Subject11,Walking Forward,2,650
Subject11,Walking Forward,2,651
Subject11,Walking Forward,2,652
Subject11,Walking Forward,2,653
Subject11,Walking Forward,3,654
Subject11,Walking Forward,3,655
Subject11,Walking Forward,3,656
Subject11,Walking Forward,3,657
Subject11,Walking Forward,3,658
Subject11,Walking Forward,3,659
Subject11,Walking Forward,3,660
Subject11,Walking Forward,3,661
Subject11,Walking Forward,3,662
Subject11,Walking Forward,3,663
Subject11,Walking Forward,3,664
Subject11,Walking Forward,3,665
Subject11,Walking Forward,3,666
Subject11,Walking Forward,3,667
Subject11,Walking Forward,3,668
Subject11,Walking Forward,3,669
Subject11,Walking Forward,3,670
Subject11,Walking Forward,4,671
Subject11,Walking Forward,4,672
Subject11,Walking Forward,4,673
Subject11,Walking Forward,4,674
Subject11,Walking Forward,4,675
Subject11,Walking Forward,4,676
Subject11,Walking Forward,4,677
Subject11,Walking Forward,4,678
Subject11,Walking Forward,4,679
Subject11,Walking Forward,4,680
Subject11,Walking Forward,4,681
Subject11,Walking Forward,4,682
Subject11,Walking Forward,4,683
Subject11,Walking Forward,4,684
Subject11,Walking Forward,4,685
Subject11,Walking Forward,4,686
Subject11,Walking Forward,4,687
Subject11,Walking Forward,4,688
Subject11,Walking Forward,4,689
Subject11,Walking Forward,4,690
Subject11,Walking Forward,5,691
Subject11,Walking Forward,5,692
Subject11,Walking Forward,5,693
Subject11,Walking Forward,5,694
Subject11,Walking Forward,5,695
Subject11,Walking Forward,5,696
Subject11,Walking Forward,5,697
Subject11,Walking Forward,5,698
Subject11,Walking Forward,5,699
Subject11,Walking Forward,5,700
Subject11,Walking Forward,5,701
Subject11,Walking Forward,5,702
Subject11,Walking Forward,5,703
Subject11,Walking Forward,5,704
Subject11,Walking Forward,5,705
Subject11,Walking Forward,5,706
Subject11,Walking Forward,5,707
Subject11,Walking Left,1,708
Subject11,Walking Left,1,709
Subject11,Walking Left,1,710
Subject11,Walking Left,1,711
Subject11,Walking Left,1,712
Subject11,Walking Left,1,713
Subject11,Walking Left,1,714
Subject11,Walking Left,1,715
Subject11,Walking Left,2,716
Subject11,Walking Left,2,717
Subject11,Walking Left,2,718
Subject11,Walking Left,2,719
Subject11,Walking Left,2,720
Subject11,Walking Left,2,721
Subject11,Walking Left,3,722
Subject11,Walking Left,3,723
Subject11,Walking Left,3,724
Subject11,Walking Left,3,725
Subject11,Walking Left,3,726
Subject11,Walking Left,3,727
Subject11,Walking Left,4,728
Subject11,Walking Left,4,729
Subject11,Walking Left,4,730
Subject11,Walking Left,4,731
Subject11,Walking Left,4,732
Subject11,Walking Left,4,733
Subject11,Walking Left,5,734
Subject11,Walking Left,5,735
Subject11,Walking Left,5,736
Subject11,Walking Left,5,737
Subject11,Walking Left,5,738
Subject11,Walking Left,5,739
Subject11,Walking Right,1,740
Subject11,Walking Right,1,741
Subject11,Walking Right,1,742
Subject11,Walking Right,1,743
Subject11,Walking Right,1,744
Subject11,Walking Right,1,745
Subject11,Walking Right,2,746
Subject11,Walking Right,2,747
Subject11,Walking Right,2,748
Subject11,Walking Right,2,749
Subject11,Walking Right,2,750
Subject11,Walking Right,2,751
Subject11,Walking Right,3,752
Subject11,Walking Right,3,753
Subject11,Walking Right,3,754
Subject11,Walking Right,3,755
Subject11,Walking Right,3,756
Subject11,Walking Right,3,757
Subject11,Walking Right,3,758
Subject11,Walking Right,4,759
Subject11,Walking Right,4,760
Subject11,Walking Right,4,761
Subject11,Walking Right,4,762
Subject11,Walking Right,4,763
Subject11,Walking Right,4,764
Subject11,Walking Right,5,765
Subject11,Walking Right,5,766
Subject11,Walking Right,5,767
Subject11,Walking Right,5,768
Subject11,Walking Right,5,769
Subject11,Walking Right,5,770
Subject11,Walking Right,5,771
Subject11,Walking Upstairs,1,772
Subject11,Walking Upstairs,1,773
Subject11,Walking Upstairs,1,774
Subject11,Walking Upstairs,1,775
Subject11,Walking Upstairs,1,776
Subject11,Walking Upstairs,1,777
Subject11,Walking Upstairs,2,778
Subject11,Walking Upstairs,2,779
Subject11,Walking Upstairs,2,780
Subject11,Walking Upstairs,2,781
Subject11,Walking Upstairs,2,782
Subject11,Walking Upstairs,3,783
Subject11,Walking Upstairs,3,784
Subject11,Walking Upstairs,3,785
Subject11,Walking Upstairs,3,786
Subject11,Walking Upstairs,3,787
Subject11,Walking Upstairs,3,788
Subject11,Walking Upstairs,4,789
Subject11,Walking Upstairs,4,790
Subject11,Walking Upstairs,4,791
Subject11,Walking Upstairs,4,792
Subject11,Walking Upstairs,4,793
Subject11,Walking Upstairs,4,794
Subject11,Walking Upstairs,5,795
Subject11,Walking Upstairs,5,796
Subject11,Walking Upstairs,5,797
Subject11,Walking Upstairs,5,798
Subject11,Walking Upstairs,5,799
Subject11,Walking Upstairs,5,800
Subject12,Elevator Down,1,801
Subject12,Elevator Down,1,802
Subject12,Elevator Down,1,803
Subject12,Elevator Down,1,804
Subject12,Elevator Down,2,805
Subject12,Elevator Down,2,806
Subject12,Elevator Down,2,807
Subject12,Elevator Down,2,808
Subject12,Elevator Down,2,809
Subject12,Elevator Down,3,810
Subject12,Elevator Down,3,811
Subject12,Elevator Down,3,812
Subject12,Elevator Down,3,813
Subject12,Elevator Down,3,814
Subject12,Elevator Down,4,815
Subject12,Elevator Down,4,816
Subject12,Elevator Down,4,817
Subject12,Elevator Down,4,818
Subject12,Elevator Down,4,819
Subject12,Elevator Down,5,820
Subject12,Elevator Down,5,821
Subject12,Elevator Down,5,822
Subject12,Elevator Down,5,823
Subject12,Elevator Up,1,824
Subject12,Elevator Up,1,825
Subject12,Elevator Up,1,826
Subject12,Elevator Up,1,827
Subject12,Elevator Up,2,828
Subject12,Elevator Up,2,829
Subject12,Elevator Up,2,830
Subject12,Elevator Up,2,831
Subject12,Elevator Up,3,832
Subject12,Elevator Up,3,833
Subject12,Elevator Up,3,834
Subject12,Elevator Up,3,835
Subject12,Elevator Up,4,836
Subject12,Elevator Up,4,837
Subject12,Elevator Up,4,838
Subject12,Elevator Up,4,839
Subject12,Elevator Up,4,840
Subject12,Elevator Up,5,841
Subject12,Elevator Up,5,842
Subject12,Elevator Up,5,843
Subject12,Elevator Up,5,844
Subject12,Elevator Up,5,845
Subject12,Jumping Up,1,846
Subject12,Jumping Up,1,847
Subject12,Jumping Up,1,848
Subject12,Jumping Up,1,849
Subject12,Jumping Up,2,850
Subject12,Jumping Up,2,851
Subject12,Jumping Up,2,852
Subject12,Jumping Up,3,853
Subject12,Jumping Up,3,854
Subject12,Jumping Up,3,855
Subject12,Jumping Up,3,856
Subject12,Jumping Up,3,857
Subject12,Jumping Up,4,858
Subject12,Jumping Up,4,859
Subject12,Jumping Up,4,860
Subject12,Jumping Up,4,861
Subject12,Jumping Up,5,862
Subject12,Jumping Up,5,863
Subject12,Jumping Up,5,864
Subject12,Jumping Up,5,865
Subject12,Running Forward,1,866
Subject12,Running Forward,1,867
Subject12,Running Forward,2,868
Subject12,Running Forward,2,869
Subject12,Running Forward,2,870
Subject12,Running Forward,3,871
Subject12,Running Forward,3,872
Subject12,Running Forward,3,873
Subject12,Running Forward,4,874
Subject12,Running Forward,4,875
Subject12,Running Forward,4,876
Subject12,Running Forward,5,877
Subject12,Running Forward,5,878
Subject12,Sitting,1,879
Subject12,Sitting,1,880
Subject12,Sitting,1,881
Subject12,Sitting,1,882
Subject12,Sitting,1,883
Subject12,Sitting,1,884
Subject12,Sitting,1,885
Subject12,Sitting,1,886
Subject12,Sitting,2,887
Subject12,Sitting,2,888
Subject12,Sitting,2,889
Subject12,Sitting,2,890
Subject12,Sitting,2,891
Subject12,Sitting,2,892
Subject12,Sitting,2,893
Subject12,Sitting,2,894
Subject12,Sitting,3,895
Subject12,Sitting,3,896
