Activity,Start time,Duration,Number of interruptions,Duration of interruptions,Day of activity,Weekend or weekday
Drink,2011-06-16 07:18:45,1.1166666666666667,0,0.0,Thursday,0
Read,2011-06-16 07:20:31,2.183333333333333,0,0.0,Thursday,0
Other_Activity,2011-06-16 07:22:42,1.8666666666666667,0,0.0,Thursday,0
Dress,2011-06-16 07:24:56,1.5666666666666667,0,0.0,Thursday,0
Cook_Breakfast,2011-06-16 07:26:37,3.3833333333333333,0,0.0,Thursday,0
Eat_Breakfast,2011-06-16 07:30:52,7.2,0,0.0,Thursday,0
Read,2011-06-16 07:38:04,62.083333333333336,0,0.0,Thursday,0
Toilet,2011-06-16 08:40:50,3.85,0,0.0,Thursday,0
Other_Activity,2011-06-16 08:47:26,1.4333333333333333,0,0.0,Thursday,0
Read,2011-06-16 08:49:54,11.633333333333333,0,0.0,Thursday,0
Other_Activity,2011-06-16 09:02:34,1.2,0,0.0,Thursday,0
Other_Activity,2011-06-16 09:04:10,208.03333333333333,0,0.0,Thursday,0
Drink,2011-06-16 12:33:57,1.8166666666666667,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 12:36:24,7.15,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 12:44:46,9.65,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 12:55:17,28.233333333333334,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 13:24:32,30.8,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 13:56:32,35.53333333333333,0,0.0,Thursday,0
Personal_Hygiene,2011-06-16 14:32:48,2.0,0,0.0,Thursday,0
Other_Activity,2011-06-16 14:34:48,3.5166666666666666,0,0.0,Thursday,0
Personal_Hygiene,2011-06-16 14:38:23,10.816666666666666,0,0.0,Thursday,0
Work_At_Desk,2011-06-16 14:50:37,3.6166666666666667,0,0.0,Thursday,0
Other_Activity,2011-06-16 14:55:39,69.33333333333333,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 16:05:16,36.516666666666666,0,0.0,Thursday,0
Other_Activity,2011-06-16 16:41:50,2.65,0,0.0,Thursday,0
Toilet,2011-06-16 16:45:07,1.05,0,0.0,Thursday,0
Step_Out,2011-06-16 16:46:32,3.283333333333333,0,0.0,Thursday,0
Leave_Home,2011-06-16 16:50:18,2.033333333333333,0,0.0,Thursday,0
Other_Activity,2011-06-16 16:52:20,325.06666666666666,0,0.0,Thursday,0
Work_On_Computer,2011-06-16 22:18:49,35.9,0,0.0,Thursday,0
Other_Activity,2011-06-16 22:56:30,1.7666666666666666,0,0.0,Thursday,0
Dress,2011-06-16 22:58:16,3.533333333333333,0,0.0,Thursday,0
Sleep,2011-06-16 23:03:18,471.6166666666667,2,4.1,Thursday,0
Other_Activity,2011-06-17 07:02:42,1.9,0,0.0,Friday,0
Personal_Hygiene,2011-06-17 07:04:36,5.566666666666666,0,0.0,Friday,0
Morning_Meds,2011-06-17 07:10:10,1.5666666666666667,0,0.0,Friday,0
Cook_Breakfast,2011-06-17 07:11:48,5.2,0,0.0,Friday,0
Other_Activity,2011-06-17 07:17:00,3.15,0,0.0,Friday,0
Eat_Breakfast,2011-06-17 07:23:03,4.766666666666667,0,0.0,Friday,0
Toilet,2011-06-17 07:27:59,1.25,0,0.0,Friday,0
Work_On_Computer,2011-06-17 07:29:21,73.68333333333334,0,0.0,Friday,0
Other_Activity,2011-06-17 08:43:02,3.2333333333333334,0,0.0,Friday,0
Read,2011-06-17 08:47:59,6.283333333333333,0,0.0,Friday,0
Leave_Home,2011-06-17 08:54:23,1.2,0,0.0,Friday,0
Other_Activity,2011-06-17 08:55:35,63.3,0,0.0,Friday,0
Other_Activity,2011-06-17 10:00:04,1.5833333333333333,0,0.0,Friday,0
Personal_Hygiene,2011-06-17 10:01:47,4.966666666666667,0,0.0,Friday,0
Dress,2011-06-17 10:07:04,3.8,0,0.0,Friday,0
Other_Activity,2011-06-17 10:10:52,1.0666666666666667,0,0.0,Friday,0
Toilet,2011-06-17 10:11:59,1.5166666666666666,0,0.0,Friday,0
Other_Activity,2011-06-17 10:14:04,3.2666666666666666,0,0.0,Friday,0
Work_On_Computer,2011-06-17 10:17:24,24.183333333333334,0,0.0,Friday,0
Leave_Home,2011-06-17 10:41:45,3.8333333333333335,0,0.0,Friday,0
Other_Activity,2011-06-17 10:45:35,33.93333333333333,0,0.0,Friday,0
Other_Activity,2011-06-17 11:19:39,1.7,0,0.0,Friday,0
Drink,2011-06-17 11:21:22,1.9166666666666667,0,0.0,Friday,0
Work_On_Computer,2011-06-17 11:23:56,154.3,0,0.0,Friday,0
Toilet,2011-06-17 13:59:09,1.1666666666666667,0,0.0,Friday,0
Leave_Home,2011-06-17 14:01:12,1.25,0,0.0,Friday,0
Other_Activity,2011-06-17 14:02:27,4.2,0,0.0,Friday,0
Work_On_Computer,2011-06-17 14:06:51,16.633333333333333,0,0.0,Friday,0
Read,2011-06-17 14:23:45,3.7333333333333334,0,0.0,Friday,0
Drink,2011-06-17 14:27:34,1.5,0,0.0,Friday,0
Work_At_Desk,2011-06-17 14:30:04,6.5,0,0.0,Friday,0
Read,2011-06-17 14:37:54,8.466666666666667,0,0.0,Friday,0
Read,2011-06-17 14:48:44,36.46666666666667,0,0.0,Friday,0
Other_Activity,2011-06-17 15:25:12,4.683333333333334,0,0.0,Friday,0
Work_On_Computer,2011-06-17 15:29:53,148.8,0,0.0,Friday,0
Cook_Dinner,2011-06-17 17:58:57,3.3666666666666667,0,0.0,Friday,0
Cook_Dinner,2011-06-17 18:04:01,1.45,0,0.0,Friday,0
Other_Activity,2011-06-17 18:05:29,2.316666666666667,0,0.0,Friday,0
Eat_Dinner,2011-06-17 18:07:48,2.1666666666666665,0,0.0,Friday,0
Eat_Dinner,2011-06-17 18:10:59,1.4333333333333333,0,0.0,Friday,0
Other_Activity,2011-06-17 18:12:25,6.416666666666667,0,0.0,Friday,0
Watch_TV,2011-06-17 18:19:22,1.35,0,0.0,Friday,0
Other_Activity,2011-06-17 18:20:43,2.65,0,0.0,Friday,0
Other_Activity,2011-06-17 18:24:32,4.0,0,0.0,Friday,0
Drink,2011-06-17 18:28:46,1.4166666666666667,0,0.0,Friday,0
Other_Activity,2011-06-17 18:30:43,35.81666666666667,0,0.0,Friday,0
Other_Activity,2011-06-17 19:06:38,2.3666666666666667,0,0.0,Friday,0
Other_Activity,2011-06-17 19:10:04,2.1666666666666665,0,0.0,Friday,0
Work_At_Desk,2011-06-17 19:12:18,6.55,0,0.0,Friday,0
Other_Activity,2011-06-17 19:20:09,55.71666666666667,0,0.0,Friday,0
Other_Activity,2011-06-17 20:16:24,126.88333333333334,0,0.0,Friday,0
Work_On_Computer,2011-06-17 22:25:49,5.7,0,0.0,Friday,0
Work_On_Computer,2011-06-17 22:31:52,32.583333333333336,0,0.0,Friday,0
Groom,2011-06-17 23:05:07,5.35,0,0.0,Friday,0
Watch_TV,2011-06-17 23:12:29,8.85,0,0.0,Friday,0
Sleep,2011-06-17 23:21:20,438.71666666666664,0,0.0,Friday,0
Personal_Hygiene,2011-06-18 06:40:26,14.716666666666667,0,0.0,Saturday,1
Other_Activity,2011-06-18 06:55:09,1.3333333333333333,0,0.0,Saturday,1
Drink,2011-06-18 06:56:39,1.25,0,0.0,Saturday,1
Other_Activity,2011-06-18 06:57:58,1.7166666666666666,0,0.0,Saturday,1
Dress,2011-06-18 06:59:41,8.066666666666666,0,0.0,Saturday,1
Other_Activity,2011-06-18 07:07:45,2.2333333333333334,0,0.0,Saturday,1
Phone,2011-06-18 07:09:59,2.683333333333333,0,0.0,Saturday,1
Other_Activity,2011-06-18 07:13:19,1.0666666666666667,0,0.0,Saturday,1
Other_Activity,2011-06-18 07:16:21,1.3,0,0.0,Saturday,1
Cook_Breakfast,2011-06-18 07:17:42,4.033333333333333,0,0.0,Saturday,1
Eat_Breakfast,2011-06-18 07:22:23,10.45,0,0.0,Saturday,1
Read,2011-06-18 07:32:50,172.65,0,0.0,Saturday,1
Wash_Breakfast_Dishes,2011-06-18 10:25:58,1.6166666666666667,0,0.0,Saturday,1
Other_Activity,2011-06-18 10:28:37,1.3166666666666667,0,0.0,Saturday,1
Wash_Breakfast_Dishes,2011-06-18 10:31:13,2.0833333333333335,0,0.0,Saturday,1
Other_Activity,2011-06-18 10:33:24,1.1166666666666667,0,0.0,Saturday,1
Wash_Breakfast_Dishes,2011-06-18 10:34:31,1.6,0,0.0,Saturday,1
Other_Activity,2011-06-18 10:36:26,2.35,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 10:38:59,35.3,0,0.0,Saturday,1
Personal_Hygiene,2011-06-18 11:15:08,3.85,0,0.0,Saturday,1
Dress,2011-06-18 11:19:14,5.25,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 11:25:50,38.333333333333336,0,0.0,Saturday,1
Cook_Lunch,2011-06-18 12:04:19,3.8833333333333333,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 12:08:20,3.65,0,0.0,Saturday,1
Cook_Lunch,2011-06-18 12:12:08,1.2833333333333334,0,0.0,Saturday,1
Eat_Lunch,2011-06-18 12:13:34,9.6,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 12:23:54,13.516666666666667,0,0.0,Saturday,1
Wash_Lunch_Dishes,2011-06-18 12:37:34,1.25,0,0.0,Saturday,1
Wash_Lunch_Dishes,2011-06-18 12:39:14,2.816666666666667,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 12:42:13,40.166666666666664,0,0.0,Saturday,1
Other_Activity,2011-06-18 13:22:23,1.1333333333333333,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 13:23:31,31.25,0,0.0,Saturday,1
Toilet,2011-06-18 13:56:45,1.1166666666666667,0,0.0,Saturday,1
Read,2011-06-18 13:58:00,48.4,0,0.0,Saturday,1
Relax,2011-06-18 14:46:48,78.53333333333333,0,0.0,Saturday,1
Other_Activity,2011-06-18 16:05:31,3.05,0,0.0,Saturday,1
Dress,2011-06-18 16:08:34,1.55,0,0.0,Saturday,1
Toilet,2011-06-18 16:10:24,1.2666666666666666,0,0.0,Saturday,1
Other_Activity,2011-06-18 16:11:44,1.0833333333333333,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 16:12:49,70.95,0,0.0,Saturday,1
Toilet,2011-06-18 17:24:53,3.85,0,0.0,Saturday,1
Other_Activity,2011-06-18 17:28:46,3.4833333333333334,0,0.0,Saturday,1
Work_At_Desk,2011-06-18 17:32:42,6.033333333333333,0,0.0,Saturday,1
Other_Activity,2011-06-18 17:39:10,260.5,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 22:02:02,12.3,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 22:15:28,4.85,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 22:20:54,3.1666666666666665,0,0.0,Saturday,1
Work_On_Computer,2011-06-18 22:24:51,38.833333333333336,0,0.0,Saturday,1
Other_Activity,2011-06-18 23:03:41,1.7666666666666666,0,0.0,Saturday,1
Groom,2011-06-18 23:06:27,1.8666666666666667,0,0.0,Saturday,1
Dress,2011-06-18 23:08:40,1.9666666666666666,0,0.0,Saturday,1
Watch_TV,2011-06-18 23:10:56,11.283333333333333,0,0.0,Saturday,1
Sleep,2011-06-18 23:22:13,383.6333333333333,0,0.0,Saturday,1
Other_Activity,2011-06-19 05:45:51,1.5,0,0.0,Sunday,1
Other_Activity,2011-06-19 05:48:17,1.2666666666666666,0,0.0,Sunday,1
Toilet,2011-06-19 05:49:33,6.183333333333334,0,0.0,Sunday,1
Morning_Meds,2011-06-19 05:56:24,1.5333333333333334,0,0.0,Sunday,1
Sleep,2011-06-19 05:58:16,58.93333333333333,0,0.0,Sunday,1
Dress,2011-06-19 06:57:20,3.3,0,0.0,Sunday,1
Drink,2011-06-19 07:00:44,1.3333333333333333,0,0.0,Sunday,1
Read,2011-06-19 07:02:48,9.2,0,0.0,Sunday,1
Other_Activity,2011-06-19 07:12:00,10.25,0,0.0,Sunday,1
Other_Activity,2011-06-19 07:22:25,73.28333333333333,0,0.0,Sunday,1
Toilet,2011-06-19 08:36:22,2.1666666666666665,0,0.0,Sunday,1
Personal_Hygiene,2011-06-19 08:39:06,1.0833333333333333,0,0.0,Sunday,1
Other_Activity,2011-06-19 08:40:16,1.6833333333333333,0,0.0,Sunday,1
Dress,2011-06-19 08:41:59,3.466666666666667,0,0.0,Sunday,1
Other_Activity,2011-06-19 08:45:46,11.95,0,0.0,Sunday,1
Leave_Home,2011-06-19 08:58:40,2.4,0,0.0,Sunday,1
Other_Activity,2011-06-19 09:01:04,56.03333333333333,0,0.0,Sunday,1
Bathe,2011-06-19 09:58:15,9.4,0,0.0,Sunday,1
Groom,2011-06-19 10:07:54,5.25,0,0.0,Sunday,1
Dress,2011-06-19 10:13:30,3.8333333333333335,0,0.0,Sunday,1
Groom,2011-06-19 10:17:39,2.15,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 10:19:55,39.71666666666667,0,0.0,Sunday,1
Other_Activity,2011-06-19 11:00:06,15.933333333333334,0,0.0,Sunday,1
Cook_Lunch,2011-06-19 11:16:14,3.3833333333333333,0,0.0,Sunday,1
Other_Activity,2011-06-19 11:19:37,1.6,0,0.0,Sunday,1
Eat_Lunch,2011-06-19 11:22:12,14.033333333333333,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 11:36:14,15.333333333333334,0,0.0,Sunday,1
Wash_Lunch_Dishes,2011-06-19 11:51:42,1.3,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 11:53:09,24.0,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 12:17:55,64.48333333333333,0,0.0,Sunday,1
Other_Activity,2011-06-19 13:22:24,3.316666666666667,0,0.0,Sunday,1
Sleep,2011-06-19 13:25:43,103.68333333333334,0,0.0,Sunday,1
Other_Activity,2011-06-19 15:09:24,3.216666666666667,0,0.0,Sunday,1
Cook,2011-06-19 15:13:54,2.5,0,0.0,Sunday,1
Eat,2011-06-19 15:16:42,10.383333333333333,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 15:28:16,98.36666666666666,0,0.0,Sunday,1
Watch_TV,2011-06-19 17:06:53,7.9,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 17:15:00,8.866666666666667,0,0.0,Sunday,1
Drink,2011-06-19 17:24:01,1.4833333333333334,0,0.0,Sunday,1
Other_Activity,2011-06-19 17:25:33,1.3666666666666667,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 17:26:56,27.416666666666668,0,0.0,Sunday,1
Cook_Dinner,2011-06-19 17:54:30,4.966666666666667,0,0.0,Sunday,1
Other_Activity,2011-06-19 18:01:10,3.6166666666666667,0,0.0,Sunday,1
Other_Activity,2011-06-19 18:05:30,1.5666666666666667,0,0.0,Sunday,1
Eat_Dinner,2011-06-19 18:08:33,1.3166666666666667,0,0.0,Sunday,1
Other_Activity,2011-06-19 18:09:52,27.833333333333332,0,0.0,Sunday,1
Wash_Dinner_Dishes,2011-06-19 18:39:18,1.0333333333333334,0,0.0,Sunday,1
Toilet,2011-06-19 18:40:24,1.4833333333333334,0,0.0,Sunday,1
Toilet,2011-06-19 18:42:28,1.4833333333333334,0,0.0,Sunday,1
Work_At_Desk,2011-06-19 18:44:06,6.633333333333334,0,0.0,Sunday,1
Other_Activity,2011-06-19 18:51:31,193.81666666666666,0,0.0,Sunday,1
Evening_Meds,2011-06-19 22:05:46,1.1333333333333333,0,0.0,Sunday,1
Work_On_Computer,2011-06-19 22:07:04,31.7,0,0.0,Sunday,1
Personal_Hygiene,2011-06-19 22:39:10,1.2166666666666666,0,0.0,Sunday,1
Dress,2011-06-19 22:40:54,2.4166666666666665,0,0.0,Sunday,1
Sleep,2011-06-19 22:43:24,462.81666666666666,0,0.0,Sunday,1
Other_Activity,2011-06-20 06:27:06,3.5833333333333335,0,0.0,Monday,0
Personal_Hygiene,2011-06-20 06:30:41,5.816666666666666,0,0.0,Monday,0
Dress,2011-06-20 06:38:26,3.6,0,0.0,Monday,0
Cook_Breakfast,2011-06-20 06:42:10,5.233333333333333,0,0.0,Monday,0
Eat_Breakfast,2011-06-20 06:47:58,9.133333333333333,0,0.0,Monday,0
Read,2011-06-20 06:58:03,13.416666666666666,0,0.0,Monday,0
Drink,2011-06-20 07:11:39,1.4666666666666666,0,0.0,Monday,0
Read,2011-06-20 07:13:16,77.61666666666666,0,0.0,Monday,0
Toilet,2011-06-20 08:31:34,3.5833333333333335,0,0.0,Monday,0
Work_On_Computer,2011-06-20 08:37:19,16.2,0,0.0,Monday,0
Leave_Home,2011-06-20 08:54:02,1.35,0,0.0,Monday,0
Other_Activity,2011-06-20 08:55:23,60.06666666666667,0,0.0,Monday,0
Personal_Hygiene,2011-06-20 09:55:49,6.933333333333334,0,0.0,Monday,0
Dress,2011-06-20 10:03:09,6.616666666666666,0,0.0,Monday,0
Toilet,2011-06-20 10:09:57,1.9,0,0.0,Monday,0
Work_On_Computer,2011-06-20 10:13:30,49.03333333333333,0,0.0,Monday,0
Dress,2011-06-20 11:02:46,1.7166666666666666,0,0.0,Monday,0
Toilet,2011-06-20 11:05:02,2.05,0,0.0,Monday,0
Other_Activity,2011-06-20 11:07:27,1.3666666666666667,0,0.0,Monday,0
Work_At_Desk,2011-06-20 11:09:31,11.883333333333333,0,0.0,Monday,0
Leave_Home,2011-06-20 11:21:30,1.1166666666666667,0,0.0,Monday,0
Other_Activity,2011-06-20 11:22:37,233.35,0,0.0,Monday,0
Work_On_Computer,2011-06-20 15:16:14,12.516666666666667,0,0.0,Monday,0
Toilet,2011-06-20 15:30:00,2.966666666666667,0,0.0,Monday,0
Work_On_Computer,2011-06-20 15:33:07,5.45,0,0.0,Monday,0
Leave_Home,2011-06-20 15:38:41,1.8666666666666667,0,0.0,Monday,0
Other_Activity,2011-06-20 15:40:33,298.45,0,0.0,Monday,0
Other_Activity,2011-06-20 20:40:21,1.5833333333333333,0,0.0,Monday,0
Drink,2011-06-20 20:41:59,1.0833333333333333,0,0.0,Monday,0
Drink,2011-06-20 20:43:21,1.7333333333333334,0,0.0,Monday,0
Step_Out,2011-06-20 20:45:47,4.233333333333333,0,0.0,Monday,0
Work_On_Computer,2011-06-20 20:50:06,1.3666666666666667,0,0.0,Monday,0
Work_On_Computer,2011-06-20 20:51:39,58.46666666666667,0,0.0,Monday,0
Dress,2011-06-20 21:51:16,2.183333333333333,0,0.0,Monday,0
Read,2011-06-20 21:53:27,12.566666666666666,0,0.0,Monday,0
Other_Activity,2011-06-20 22:06:01,7.7,0,0.0,Monday,0
Groom,2011-06-20 22:14:52,3.1666666666666665,0,0.0,Monday,0
Evening_Meds,2011-06-20 22:18:05,1.0166666666666666,0,0.0,Monday,0
Dress,2011-06-20 22:19:39,2.45,0,0.0,Monday,0
Sleep,2011-06-20 22:22:23,512.4166666666667,1,3.0,Monday,0
Personal_Hygiene,2011-06-21 06:58:27,9.816666666666666,0,0.0,Tuesday,0
Other_Activity,2011-06-21 07:08:49,6.033333333333333,0,0.0,Tuesday,0
Cook_Breakfast,2011-06-21 07:14:53,12.833333333333334,0,0.0,Tuesday,0
Eat_Breakfast,2011-06-21 07:28:57,12.666666666666666,0,0.0,Tuesday,0
Read,2011-06-21 07:41:37,63.43333333333333,0,0.0,Tuesday,0
Toilet,2011-06-21 08:45:44,2.45,0,0.0,Tuesday,0
Leave_Home,2011-06-21 08:49:10,3.283333333333333,0,0.0,Tuesday,0
Other_Activity,2011-06-21 08:52:27,43.9,0,0.0,Tuesday,0
Personal_Hygiene,2011-06-21 09:37:02,1.2166666666666666,0,0.0,Tuesday,0
Bathe,2011-06-21 09:38:15,6.6,0,0.0,Tuesday,0
Groom,2011-06-21 09:45:06,5.066666666666666,0,0.0,Tuesday,0
Dress,2011-06-21 09:50:18,6.666666666666667,0,0.0,Tuesday,0
Groom,2011-06-21 09:57:07,5.066666666666666,0,0.0,Tuesday,0
Other_Activity,2011-06-21 10:02:14,1.7833333333333334,0,0.0,Tuesday,0
Work_On_Computer,2011-06-21 10:04:04,34.55,0,0.0,Tuesday,0
Toilet,2011-06-21 10:39:19,1.4333333333333333,0,0.0,Tuesday,0
Work_On_Computer,2011-06-21 10:41:29,20.05,0,0.0,Tuesday,0
Toilet,2011-06-21 11:02:11,1.3333333333333333,0,0.0,Tuesday,0
Dress,2011-06-21 11:03:39,1.9,0,0.0,Tuesday,0
Dress,2011-06-21 11:05:33,2.4166666666666665,0,0.0,Tuesday,0
Other_Activity,2011-06-21 11:08:58,1.1166666666666667,0,0.0,Tuesday,0
Leave_Home,2011-06-21 11:10:07,5.583333333333333,0,0.0,Tuesday,0
Other_Activity,2011-06-21 11:15:42,508.31666666666666,0,0.0,Tuesday,0
Work_On_Computer,2011-06-21 19:44:16,19.516666666666666,0,0.0,Tuesday,0
Leave_Home,2011-06-21 20:03:54,1.4166666666666667,0,0.0,Tuesday,0
Other_Activity,2011-06-21 20:05:19,10.566666666666666,0,0.0,Tuesday,0
Other_Activity,2011-06-21 20:16:01,1.7166666666666666,0,0.0,Tuesday,0
Work_On_Computer,2011-06-21 20:17:44,27.633333333333333,0,0.0,Tuesday,0
Other_Activity,2011-06-21 20:45:22,1.8833333333333333,0,0.0,Tuesday,0
Dress,2011-06-21 20:47:15,2.183333333333333,0,0.0,Tuesday,0
Toilet,2011-06-21 20:49:34,2.7666666666666666,0,0.0,Tuesday,0
Other_Activity,2011-06-21 20:52:23,1.35,0,0.0,Tuesday,0
Watch_TV,2011-06-21 20:53:44,122.21666666666667,0,0.0,Tuesday,0
Sleep,2011-06-21 22:55:57,128.06666666666666,1,1.35,Tuesday,0
Sleep,2011-06-22 01:07:24,403.68333333333334,1,1.7666666666666666,Wednesday,0
Other_Activity,2011-06-22 07:55:12,2.716666666666667,0,0.0,Wednesday,0
Morning_Meds,2011-06-22 07:57:55,4.266666666666667,0,0.0,Wednesday,0
Personal_Hygiene,2011-06-22 08:02:11,8.95,0,0.0,Wednesday,0
Dress,2011-06-22 08:11:19,10.95,0,0.0,Wednesday,0
Personal_Hygiene,2011-06-22 08:22:21,1.3833333333333333,0,0.0,Wednesday,0
Cook_Breakfast,2011-06-22 08:23:51,6.433333333333334,0,0.0,Wednesday,0
Other_Activity,2011-06-22 08:30:56,1.8166666666666667,0,0.0,Wednesday,0
Cook_Breakfast,2011-06-22 08:32:46,1.05,0,0.0,Wednesday,0
Eat_Breakfast,2011-06-22 08:34:04,15.45,0,0.0,Wednesday,0
Read,2011-06-22 08:49:31,49.43333333333333,0,0.0,Wednesday,0
Toilet,2011-06-22 09:39:31,2.2666666666666666,0,0.0,Wednesday,0
Other_Activity,2011-06-22 09:41:48,1.2333333333333334,0,0.0,Wednesday,0
Work_On_Computer,2011-06-22 09:43:02,23.633333333333333,0,0.0,Wednesday,0
Leave_Home,2011-06-22 10:07:00,2.3333333333333335,0,0.0,Wednesday,0
Other_Activity,2011-06-22 10:09:20,438.25,0,0.0,Wednesday,0
Work_On_Computer,2011-06-22 17:28:27,31.7,0,0.0,Wednesday,0
Cook_Dinner,2011-06-22 18:00:36,2.75,0,0.0,Wednesday,0
Other_Activity,2011-06-22 18:04:37,2.2333333333333334,0,0.0,Wednesday,0
Other_Activity,2011-06-22 18:07:32,3.716666666666667,0,0.0,Wednesday,0
Watch_TV,2011-06-22 18:11:17,2.25,0,0.0,Wednesday,0
Other_Activity,2011-06-22 18:13:32,42.36666666666667,0,0.0,Wednesday,0
Watch_TV,2011-06-22 18:55:54,11.25,0,0.0,Wednesday,0
Other_Activity,2011-06-22 19:08:47,1.0666666666666667,0,0.0,Wednesday,0
Eat_Dinner,2011-06-22 19:10:03,9.316666666666666,0,0.0,Wednesday,0
Other_Activity,2011-06-22 19:19:39,123.88333333333334,0,0.0,Wednesday,0
Work_On_Computer,2011-06-22 21:24:55,13.633333333333333,0,0.0,Wednesday,0
