Day of activity,Weekend or weekday,Total Personal_Hygiene duration,Total Personal_Hygiene frequency,Total Dress duration,Total Dress frequency,Total Cook_Breakfast duration,Total Cook_Breakfast frequency,Total Eat_Breakfast duration,Total Eat_Breakfast frequency,Total Wash_Breakfast_Dishes duration,Total Wash_Breakfast_Dishes frequency,Total Read duration,Total Read frequency,Total Toilet duration,Total Toilet frequency,Total Work_On_Computer duration,Total Work_On_Computer frequency,Total Drink duration,Total Drink frequency,Total Cook_Dinner duration,Total Cook_Dinner frequency,Total Eat_Dinner duration,Total Eat_Dinner frequency,Total Wash_Dinner_Dishes duration,Total Wash_Dinner_Dishes frequency,Total Watch_TV duration,Total Watch_TV frequency,Total Work_At_Desk duration,Total Work_At_Desk frequency,Total Leave_Home duration,Total Leave_Home frequency,Total Groom duration,Total Groom frequency,Total Bathe duration,Total Bathe frequency,Total Step_Out duration,Total Step_Out frequency,Total Cook_Lunch duration,Total Cook_Lunch frequency,Total Eat_Lunch duration,Total Eat_Lunch frequency,Total Evening_Meds duration,Total Evening_Meds frequency,Total Wash_Dishes duration,Total Wash_Dishes frequency,Total Entertain_Guests duration,Total Entertain_Guests frequency,Total Work duration,Total Work frequency
1.047837774266746402e+00,1.658312395177700127e+00,8.226940703718369496e-01,-3.396291366019411062e-01,5.553554486697652726e-01,1.222066741131823536e-01,-4.563297277875253410e-01,4.719291781830086546e-02,1.456398555710140208e+00,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,6.925832330260227598e-01,2.189081818461976248e+00,1.162047591195812801e+00,1.188608723539591905e+00,1.025487822023945617e+00,1.132882368074041635e+00,4.808577200280804431e-02,6.301260378126044559e-01,3.693758181780511407e+00,3.058158204903339783e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,2.749405893704236714e+00,1.922148924654283997e+00,1.767521233631366817e+00,1.633371253079757057e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,-1.165470192805006189e+00,-1.297094943484012219e+00,-2.658169842980971365e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,3.610526733338227379e-01,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,1.643189586216852183e+00,1.224744871391588719e+00,7.390823715190298904e-01,3.015113445777636847e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.563167827184818393e+00,1.658312395177700127e+00,-1.536685203506376496e+00,-3.396291366019411062e-01,-1.269056045927190679e+00,-4.015362149433133188e-01,-1.170584953889739266e+00,-1.368594616730725244e+00,-1.320097824326522451e+00,-1.547147426191518793e+00,-5.405140521925773101e-01,-5.906244232186182996e-01,6.380384497177072900e-01,6.965260331469922406e-01,-2.603242311572527834e-01,5.282705437953740812e-01,-7.617870577912222441e-01,-8.496617760555311705e-01,4.182196749191557927e-01,-4.200840252084028226e-01,3.489057433180601797e-01,1.609556949949125793e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,1.379339686890614036e+00,1.633371253079757057e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,-6.489921920404866373e-01,-6.375551417124805109e-01,3.776592889307257561e-01,0.000000000000000000e+00,1.171369749816732808e+00,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,1.280018278464756798e-01,5.393308788692644518e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,1.235749512917789922e-01,1.206045378311054739e+00,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.528812490323613771e+00,-6.030226891555272584e-01,1.162909370122153785e+00,1.512893426681374054e+00,-9.581028918166374642e-02,-4.015362149433133188e-01,-6.240714854327423788e-01,4.719291781830086546e-02,-7.870564118616331373e-02,4.708709557974186111e-01,1.557952268084487502e+00,1.771873269655855010e+00,7.457728664384797312e-01,-4.975185951049961725e-02,-2.592587840993110931e-02,-1.320676359488436868e-01,-7.518335129158402186e-01,0.000000000000000000e+00,-6.067665177722694203e-01,-4.200840252084028226e-01,4.966279330293356664e-01,1.126689864964388166e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,3.488672130984228348e-01,6.115928396627267061e-01,8.766653321461508330e-01,-1.835248598966012640e-02,7.758735401293557210e-01,2.030258904551878629e+00,-9.399657135979624378e-01,-6.375551417124805109e-01,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,1.126453415519014678e+00,4.385987225558951041e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,1.307576174534595292e+00,1.224744871391588719e+00,1.321447084503275082e+00,1.206045378311054739e+00,1.238328132809646931e+00,1.194648260376006244e+00,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.013482437405541781e+00,-6.030226891555272584e-01,-4.800815896476688938e-01,-3.396291366019411062e-01,7.848411712605778412e-01,6.459495631696779983e-01,3.607349626778873913e-02,4.719291781830086546e-02,-4.320779077362840725e-01,4.708709557974186111e-01,1.924430835979764332e-01,5.906244232186182996e-01,5.767179169300975516e-01,6.965260331469922406e-01,-5.586494073811164585e-01,-7.924058156930614549e-01,1.214605174656203213e+00,8.496617760555311705e-01,-2.556138406465033319e-01,-4.200840252084028226e-01,1.970332635148964506e+00,2.092424034933864085e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-3.037234528410357459e-01,-1.835248598966012640e-02,-9.160092896681381047e-01,-1.093216333220242253e+00,2.639372318460936340e-01,2.198466005905112472e-02,1.085483189482431277e+00,2.335496832484569296e+00,7.527803273081385971e-01,1.414213562373095368e+00,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,2.007974591679824172e+00,2.110579412044345737e+00,9.327051085908928396e-01,1.194648260376006244e+00,-4.516047971910346903e-01,-5.207556439232954304e-01
-4.981523844874697349e-01,-6.030226891555272584e-01,-8.731270700909193883e-02,5.866321450397163906e-01,1.606400058135721773e-02,1.222066741131823536e-01,-2.507107990611305848e-01,4.719291781830086546e-02,-1.216151306958226409e-02,4.708709557974186111e-01,1.221595226317590682e-01,5.906244232186182996e-01,-1.033200159350125658e+00,-7.960297521679915445e-01,7.305415327291531202e-01,1.188608723539591905e+00,5.173116336602645582e-01,8.496617760555311705e-01,-1.451431065453166358e+00,-1.470294088229410212e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-6.036304787486143075e-01,5.322220937001456154e-01,-1.193651600199009399e-01,4.685212856658182434e-01,-6.671780371378288610e-01,-6.375551417124805109e-01,-2.198543933531811323e-01,0.000000000000000000e+00,1.350035966741132798e+00,1.414213562373095368e+00,-1.898039214206714009e-01,4.385987225558951041e-01,1.751050996531621580e-04,1.783940599336797828e+00,1.649698982803044223e-01,1.414213562373095368e+00,-7.258462609520175413e-01,-8.164965809277259234e-01,3.361617448933443275e-02,3.015113445777636847e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.717766843060234208e-02,-6.030226891555272584e-01,-9.007868505584232244e-02,-1.265890418243598603e+00,-9.294171764927876278e-02,6.459495631696779983e-01,-1.170584953889739266e+00,-1.368594616730725244e+00,-1.320097824326522451e+00,-1.547147426191518793e+00,-5.405140521925773101e-01,-5.906244232186182996e-01,9.046641917279210077e-01,-4.975185951049961725e-02,-5.906128191193877885e-01,-7.924058156930614549e-01,-9.203620261483356213e-01,-8.496617760555311705e-01,1.680471189992855496e+00,6.301260378126044559e-01,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-3.580462348922197058e-01,-1.835248598966012640e-02,-2.573975587213281901e-01,4.685212856658182434e-01,2.260743023534271146e+00,1.341064263602114170e+00,1.669208094482863780e+00,1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,1.485253863072260927e+00,1.224744871391588719e+00,1.449283241012011780e+00,2.110579412044345737e+00,1.992846663836851606e+00,2.901288632341729290e+00,-4.516047971910346903e-01,-5.207556439232954304e-01
5.325077213486744121e-01,-6.030226891555272584e-01,-1.058171001418532597e+00,-1.265890418243598603e+00,7.676297420662666626e-01,1.222066741131823536e-01,3.715570115582224608e-01,1.462980452367326878e+00,9.653487827119205944e-01,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,9.178769032125441152e-01,6.965260331469922406e-01,4.854887094024069594e-01,5.282705437953740812e-01,-4.980862935584992046e-01,-2.832205920185104087e-01,-1.451431065453166358e+00,-1.470294088229410212e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,4.871634400083206251e-01,5.322220937001456154e-01,2.750131219841768226e-01,4.685212856658182434e-01,1.366363161646980406e-01,2.198466005905112472e-02,2.027716303853207780e+00,1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-3.605414001859005846e-01,-7.052788415982689241e-01,-6.641150205481828328e-01,-7.071067811865475727e-01,-7.258462609520175413e-01,-8.164965809277259234e-01,8.716532004910532150e-01,1.206045378311054739e+00,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.047837774266746402e+00,1.658312395177700127e+00,3.497118243774938184e-01,-3.396291366019411062e-01,-2.478445803980766915e-01,-4.015362149433133188e-01,1.724313121600294041e+00,4.719291781830086546e-02,9.171616554550857670e-01,2.488889337786356126e+00,3.505810957719658116e+00,2.953122116093091609e+00,-1.419756667143841078e+00,-1.542307644825483326e+00,-1.640078171192623335e+00,-1.452743995437279168e+00,2.081108978533635856e+00,2.832205920185104087e-01,1.851302222108093032e+00,6.301260378126044559e-01,4.579387881049539200e-01,1.609556949949125793e-01,1.130555230172613917e-01,1.330820926101403456e+00,1.661272443325828227e-02,6.115928396627267061e-01,2.174187615931202799e+00,2.734520412459368721e+00,6.930541009084992821e-01,4.685212856658182434e-01,-2.416292618600204833e-01,-6.375551417124805109e-01,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,-6.826756114641662210e-01,-7.575796116874550234e-01,-7.512008775121482851e-02,5.393308788692644518e-01,1.661134636855850388e+00,1.414213562373095368e+00,6.363493511700824001e-01,1.224744871391588719e+00,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
1.563167827184818393e+00,1.658312395177700127e+00,8.970988798294278477e-02,-3.396291366019411062e-01,1.021211465529114487e-01,-4.015362149433133188e-01,-1.803674813389428422e-01,4.719291781830086546e-02,1.231525295178244717e+00,4.708709557974186111e-01,-5.405140521925773101e-01,-5.906244232186182996e-01,6.675129599526357094e-01,1.442803925804484244e+00,1.391118708653422686e+00,1.188608723539591905e+00,-8.498691124418630283e-01,-1.416102960092551877e+00,8.547878681025405934e-01,6.301260378126044559e-01,8.131754824106401935e-01,1.126689864964388166e+00,-4.320336058159631176e-01,-5.703518254720301162e-01,4.319308352647140414e-01,6.115928396627267061e-01,3.346088466222892244e+00,2.183945832769563111e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,-8.708595022280618547e-01,-6.375551417124805109e-01,-4.588598662667440764e-01,0.000000000000000000e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,3.179119042288392816e+00,2.830955391042595526e+00,3.626426613817387290e-01,1.783940599336797828e+00,9.082874117127414104e-01,1.414213562373095368e+00,4.784136280254910889e-01,1.224744871391588719e+00,-5.582178834214838181e-01,-6.030226891555272584e-01,-4.667266338844534013e-01,-5.119921115897169139e-01,-4.516047971910346903e-01,-5.207556439232954304e-01
-1.528812490323613771e+00,-6.030226891555272584e-01,8.697156971665959135e-01,5.866321450397163906e-01,-3.310331548372462684e-01,6.459495631696779983e-01,-2.128336279799524222e-01,4.719291781830086546e-02,1.229230670070776688e+00,4.708709557974186111e-01,1.286858532929077370e+00,5.906244232186182996e-01,3.351624479932714951e-01,6.965260331469922406e-01,-1.139318053959708754e+00,-7.924058156930614549e-01,-3.633725629163427895e-01,8.496617760555311705e-01,1.092053190484815195e+00,1.680336100833611734e+00,-7.695622644958826086e-01,-8.047784749745631183e-01,-4.320336058159631176e-01,-5.703518254720301162e-01,-6.229771662471836891e-01,-6.989632453288304736e-01,-5.066794024489317261e-01,1.082796673389951447e+00,-9.160092896681381047e-01,-1.093216333220242253e+00,1.162317979654799993e+00,2.198466005905112472e-02,-1.102336139495567080e+00,-1.167748416242284648e+00,-6.918636552520098792e-01,-7.071067811865475727e-01,1.514952277082710408e+00,1.634777056799245232e+00,5.172779748854633652e+00,1.783940599336797828e+00,1.181472480752013166e+00,1.414213562373095368e+00,-7.258462609520175413e-01,-8.164965809277259234e-01,1.932219832267239257e+00,2.110579412044345737e+00,-4.667266338844534013e-01,-5.119921115897169139e-01,4.285336825519274306e+00,3.384911685501420298e+00
