Date,Day of activity,Weekend or weekday,Total Personal_Hygiene duration,Total Personal_Hygiene frequency,Total Dress duration,Total Dress frequency,Total Cook_Breakfast duration,Total Cook_Breakfast frequency,Total Eat_Breakfast duration,Total Eat_Breakfast frequency,Total Wash_Breakfast_Dishes duration,Total Wash_Breakfast_Dishes frequency,Total Read duration,Total Read frequency,Total Toilet duration,Total Toilet frequency,Total Work_On_Computer duration,Total Work_On_Computer frequency,Total Drink duration,Total Drink frequency,Total Cook_Dinner duration,Total Cook_Dinner frequency,Total Eat_Dinner duration,Total Eat_Dinner frequency,Total Wash_Dinner_Dishes duration,Total Wash_Dinner_Dishes frequency,Total Watch_TV duration,Total Watch_TV frequency,Total Work_At_Desk duration,Total Work_At_Desk frequency,Total Leave_Home duration,Total Leave_Home frequency,Total Groom duration,Total Groom frequency,Total Bathe duration,Total Bathe frequency,Total Step_Out duration,Total Step_Out frequency,Total Cook_Lunch duration,Total Cook_Lunch frequency,Total Eat_Lunch duration,Total Eat_Lunch frequency,Total Evening_Meds duration,Total Evening_Meds frequency,Total Wash_Dishes duration,Total Wash_Dishes frequency,Total Entertain_Guests duration,Total Entertain_Guests frequency,Total Work duration,Total Work frequency
2011-06-25,Saturday,Weekend,17.866666666666667,2,16.349999999999998,4,2.2,1,20.166666666666668,1,0.0,0,103.91666666666666,5,9.783333333333333,5,343.3,11,2.6333333333333337,2,21.15,4,0.0,0,6.766666666666666,2,222.23333333333335,5,0.0,0,0.0,0,3.033333333333333,1,0.0,0,3.0,1,0.0,0,0.0,0,2.0,1,4.566666666666666,1,0.0,0,0.0,0
2011-06-26,Sunday,Weekend,3.65,2,5.75,3,0.0,0,0.0,0,0.0,0,101.23333333333333,3,5.333333333333333,4,124.83333333333334,4,3.283333333333333,1,5.3,1,0.0,0,0.0,0,187.93333333333334,5,0.0,0,2.3666666666666667,1,5.366666666666666,1,6.083333333333333,1,0.0,0,4.65,1,0.0,0,0.0,0,2.4000000000000004,2,0.0,0,0.0,0
2011-06-27,Monday,Weekday,19.916666666666668,4,12.566666666666666,3,1.6833333333333331,1,9.016666666666667,1,3.483333333333333,2,106.53333333333333,2,6.066666666666666,3,126.05000000000001,7,1.4833333333333334,1,6.0,2,0.0,0,1.95,1,143.51666666666668,2,7.15,2,1.0333333333333334,1,0.0,0,0.0,0,5.2,1,0.0,0,0.0,0,1.7166666666666666,1,6.616666666666666,2,75.96666666666667,1,0.0,0
2011-06-28,Tuesday,Weekday,10.016666666666667,2,17.683333333333334,5,3.716666666666667,1,6.45,1,1.2166666666666666,1,98.21666666666665,3,4.4,2,366.41666666666663,10,2.1,1,12.983333333333333,3,0.0,0,0.0,0,39.21666666666667,2,0.0,0,6.55,2,7.933333333333334,3,4.716666666666667,1,0.0,0,0.0,0,0.0,0,0.0,0,9.033333333333333,3,62.35,1,0.0,0
2011-06-29,Wednesday,Weekday,12.383333333333333,3,13.216666666666667,4,2.833333333333333,1,9.5,1,1.1,1,19.016666666666666,1,8.433333333333335,5,281.18333333333334,10,0.0,0,0.0,0,0.0,0,0.0,0,12.716666666666667,3,3.3666666666666667,1,2.283333333333333,1,3.2,1,6.666666666666667,1,1.4166666666666667,1,3.433333333333333,2,4.35,1,0.0,0,2.083333333333333,1,0.0,0,0.0,0
2011-06-30,Thursday,Weekday,12.366666666666667,1,12.583333333333332,5,0.0,0,0.0,0,0.0,0,114.35,2,4.3,2,105.44999999999999,4,5.5,2,0.0,0,0.0,0,0.0,0,34.41666666666667,2,2.783333333333333,1,15.7,4,10.05,2,0.0,0,0.0,0,0.0,0,0.0,0,1.8666666666666667,1,7.066666666666666,3,109.58333333333333,2,0.0,0
2011-07-01,Friday,Weekday,6.533333333333333,1,17.583333333333332,4,4.75,2,16.6,1,0.0,0,115.0,3,7.666666666666666,4,157.06666666666666,6,0.0,0,0.0,0,0.0,0,0.0,0,109.1,3,5.033333333333333,1,5.966666666666667,2,11.35,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.033333333333333,2,0.0,0,0.0,0
2011-07-02,Saturday,Weekend,15.016666666666666,2,11.683333333333334,3,8.916666666666666,1,16.25,2,6.716666666666667,3,0.0,0,1.0166666666666666,1,472.33333333333326,8,5.8,2,5.816666666666666,1,2.7,1,1.2833333333333334,1,258.1666666666667,7,6.8,1,4.233333333333333,1,0.0,0,0.0,0,0.0,0,2.716666666666667,1,12.2,1,1.15,1,0.0,0,0.0,0,0.0,0
2011-07-03,Sunday,Weekend,13.45,2,13.716666666666665,3,3.05,1,18.53333333333333,1,0.0,0,102.68333333333334,4,10.5,5,114.06666666666666,2,4.05,2,7.5,2,0.0,0,2.1166666666666667,1,361.7166666666667,6,0.0,0,1.35,1,2.333333333333333,1,0.0,0,11.1,3,6.883333333333333,2,8.25,1,1.0166666666666666,1,0.0,0,0.0,0,0.0,0
2011-07-04,Monday,Weekday,18.15,3,11.2,5,2.95,1,18.516666666666666,1,3.033333333333333,1,86.33333333333334,3,2.5833333333333335,2,173.53333333333333,10,4.466666666666667,3,0.0,0,0.0,0,0.0,0,21.28333333333333,4,0.0,0,10.666666666666666,2,0.0,0,0.0,0,6.316666666666666,2,52.666666666666664,2,9.683333333333334,1,0.0,0,8.766666666666666,3,0.0,0,6.433333333333334,2
2011-07-05,Tuesday,Weekday,9.283333333333333,2,14.233333333333333,4,0.0,0,0.0,0,0.0,0,45.25,1,6.833333333333334,3,295.75,13,4.916666666666667,3,0.0,0,0.0,0,0.0,0,42.75,2,13.833333333333334,1,4.550000000000001,3,5.85,2,6.716666666666667,1,3.7,2,8.35,2,7.283333333333333,1,1.6833333333333331,1,0.0,0,87.95,1,0.0,0
2011-07-06,Wednesday,Weekday,14.15,3,18.950000000000003,6,0.0,0,0.0,0,0.0,0,147.25,4,8.2,5,300.8666666666667,6,4.5,2,6.1,1,0.0,0,3.066666666666667,1,5.633333333333334,2,0.0,0,7.866666666666666,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.65,1
2011-07-07,Thursday,Weekday,16.433333333333334,4,14.933333333333334,4,5.633333333333333,2,11.0,1,0.0,0,66.6,1,4.95,3,312.8666666666667,7,1.1833333333333331,1,6.8,1,1.35,1,5.816666666666666,2,134.18333333333334,2,7.283333333333333,1,16.616666666666667,4,7.533333333333333,2,6.333333333333333,1,2.716666666666667,1,2.5166666666666666,1,11.116666666666667,1,1.2166666666666666,1,0.0,0,57.13333333333333,1,1.6,1
2011-07-08,Friday,Weekday,22.55,5,32.63333333333333,10,4.933333333333334,1,15.15,1,1.7333333333333334,1,15.483333333333334,2,14.866666666666667,7,217.71666666666667,10,2.6500000000000004,2,4.616666666666666,1,20.916666666666668,1,6.1499999999999995,2,73.63333333333334,1,6.083333333333333,1,7.266666666666667,4,5.033333333333333,2,0.0,0,1.0666666666666669,1,4.583333333333333,1,12.933333333333334,1,1.1,1,13.383333333333333,3,0.0,0,2.25,1
2011-07-09,Saturday,Weekend,10.65,2,18.316666666666666,5,5.583333333333333,2,14.2,1,1.4333333333333331,1,51.2,1,8.866666666666665,4,123.69999999999999,5,1.7333333333333334,1,7.583333333333333,1,9.966666666666669,1,3.8499999999999996,2,9.45,1,0.0,0,1.8,1,6.45,1,7.233333333333333,1,4.183333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.283333333333333,1
2011-07-10,Sunday,Weekend,14.516666666666666,2,8.4,1,0.0,0,0.0,0,0.0,0,0.0,0,4.2666666666666675,2,0.0,0,2.583333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,3.183333333333333,1,1.9,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-07-11,Monday,Weekday,1.05,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.166666666666667,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.183333333333334,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,34.15,1,0.0,0
2011-07-12,Tuesday,Weekday,1.7833333333333334,1,5.883333333333334,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,48.983333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.15,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2011-07-13,Wednesday,Weekday,12.966666666666667,2,9.95,5,8.283333333333333,2,10.633333333333333,1,1.05,1,48.300000000000004,2,5.783333333333332,3,285.0166666666667,10,2.55,2,0.0,0,0.0,0,0.0,0,37.41666666666667,3,0.0,0,2.45,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,196.7,2,1.2,1
2011-07-14,Thursday,Weekday,21.200000000000003,4,18.5,6,4.766666666666667,2,10.6,1,0.0,0,55.66666666666667,3,8.683333333333332,5,345.41666666666663,15,3.783333333333333,2,6.283333333333333,2,0.0,0,2.583333333333333,1,44.266666666666666,1,2.3,1,14.883333333333333,7,0.0,0,0.0,0,8.95,2,8.6,2,15.083333333333334,1,1.25,1,0.0,0,0.0,0,1.9833333333333332,1
